Date	Time	Port 1_Voltage (V)	Port 1_Current (A)	Port 1_Resistance (Ohms)	Port 2_Voltage (V)	Port 2_Current (A)	Port 2_Resistance (Ohms)	Port 3_Voltage (V)	Port 3_Current (A)	Port 3_Resistance (Ohms)	Port 4_Voltage (V)	Port 4_Current (A)	Port 4_Resistance (Ohms)	TC1 (deg C)	TC2 (deg C)	TC3 (deg C)	TC4 (deg C)	TC5 (deg C)	TC6 (deg C)	TC7 (deg C)	TC8 (deg C)
3/25/2015	1:37:17 PM	-9.999404E+2	-7.911672E-9	1.305739E+11	-1.004829E+3	-3.039152E-8	3.236881E+10	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3/25/2015	1:38:17 PM	-9.999416E+2	-7.093620E-9	1.448056E+11	-1.004828E+3	-2.970603E-8	3.388338E+10	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3/25/2015	1:39:17 PM	-9.999422E+2	-7.411087E-9	1.423971E+11	-1.004828E+3	-2.935563E-8	3.487753E+10	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3/25/2015	1:40:17 PM	-9.999425E+2	-7.042309E-9	1.382943E+11	-1.004828E+3	-2.818639E-8	3.519830E+10	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3/25/2015	1:41:17 PM	-9.999430E+2	-7.061746E-9	1.428297E+11	-1.004828E+3	-2.875984E-8	3.463376E+10	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3/25/2015	1:42:17 PM	-9.999430E+2	-7.128232E-9	1.388809E+11	-1.004828E+3	-2.863281E-8	3.476186E+10	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3/25/2015	1:43:17 PM	-9.999423E+2	-7.121802E-9	1.451051E+11	-1.004827E+3	-2.832669E-8	3.513901E+10	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3/25/2015	1:44:17 PM	-9.999427E+2	-6.877315E-9	1.476204E+11	-1.004829E+3	-2.898864E-8	3.476781E+10	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3/25/2015	1:45:17 PM	-9.999423E+2	-6.974669E-9	1.370198E+11	-1.004828E+3	-2.890862E-8	3.535032E+10	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3/25/2015	1:46:17 PM	-9.999427E+2	-7.311418E-9	1.376486E+11	-1.004828E+3	-2.894184E-8	3.446699E+10	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3/25/2015	1:47:17 PM	-9.999423E+2	-7.295441E-9	1.488000E+11	-1.004829E+3	-2.903841E-8	3.473834E+10	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3/25/2015	1:48:17 PM	-9.999427E+2	-6.962792E-9	1.322256E+11	-1.004828E+3	-2.840583E-8	3.569715E+10	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3/25/2015	1:49:17 PM	-9.999426E+2	-6.933722E-9	1.432091E+11	-1.004829E+3	-2.856849E-8	3.468357E+10	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3/25/2015	1:50:17 PM	-9.999422E+2	-6.907073E-9	1.443859E+11	-1.004828E+3	-2.924114E-8	3.438911E+10	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3/25/2015	1:51:17 PM	-9.999420E+2	-7.422192E-9	1.464858E+11	-1.004828E+3	-2.876567E-8	3.480805E+10	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3/25/2015	1:52:17 PM	-9.999423E+2	-7.336028E-9	1.478400E+11	-1.004828E+3	-2.829267E-8	3.454203E+10	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3/25/2015	1:53:17 PM	-9.999420E+2	-6.899227E-9	1.385273E+11	-1.004829E+3	-2.847377E-8	3.521758E+10	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3/25/2015	1:54:17 PM	-9.999423E+2	-7.007551E-9	1.402387E+11	-1.004828E+3	-2.811016E-8	3.540590E+10	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3/25/2015	1:55:17 PM	-9.999417E+2	-7.150569E-9	1.438037E+11	-1.004829E+3	-2.876737E-8	3.520343E+10	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3/25/2015	1:56:17 PM	-9.999418E+2	-7.201147E-9	1.468393E+11	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3/25/2015	1:57:17 PM	-9.999425E+2	-6.853577E-9	1.466022E+11	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
